customer_id,age,income,family_size,engagement_score,subscription_status,mainline_spend
1,56,20000.0,1,0.19668819731282305,0,838.882801226762
2,69,48663.19940730817,2,0.23748330516938398,0,852.1285892195014
3,46,30432.957492427202,1,0.2998975929945362,0,373.16707742623794
4,32,60045.08823245058,2,0.6427950705063091,1,1143.1263891693307
5,60,55498.973691452724,4,0.600945484537719,1,1230.0062524758212
6,25,35901.80320508967,2,0.6960798615670392,0,916.66984649147
7,38,42291.9962399496,4,0.36250198453151317,0,611.8640490143082
8,56,34111.79717166573,1,0.8239976518799783,0,170.10755308293824
9,36,49059.813540902425,3,0.20408766115576027,0,870.3524709674948
10,40,64327.134807518574,2,0.46904074751815394,0,624.4756108006131
11,28,35214.10930496684,3,0.8009387215414303,0,352.69665905449494
12,28,57560.697732767665,3,0.18015864773261925,0,239.35416844027208
13,41,42046.13572441339,1,0.10986311374078295,0,884.0131620356934
14,70,38106.907516064835,3,0.8836839676879897,0,804.6264244301166
15,53,48394.544600681635,1,0.3429296627591959,0,731.1344131368775
16,57,34471.365163709386,3,0.683870124909032,0,1018.5487109020024
17,41,41695.26041979227,4,0.02534860426393848,0,838.4760991299697
18,20,32031.831611167272,2,0.6900468884094496,0,1052.4238554411645
19,39,79470.87699374584,3,0.3161013115469705,0,650.4174216900269
20,70,50528.95327957593,3,0.05574085358744174,0,751.308726965831
21,19,39504.117380111216,3,0.609812761548117,0,435.1591880657649
22,41,53209.69866101333,3,0.24080381607317325,0,744.2524085412906
23,61,48315.07925463755,1,0.38680724205188,0,730.5329497250402
24,47,46685.45600700165,1,0.08058081228651359,0,866.8080887162737
25,55,59212.50050065138,4,0.14716325109494532,0,819.8916038411311
26,19,61362.61565070957,1,0.29797723549584376,0,961.2922294591153
27,38,42042.48278584209,2,0.08975950056015713,0,859.876390613005
28,50,41362.7263903298,1,0.9108262646863152,0,1228.881993896909
29,29,45874.22454272534,5,0.006047043183978418,0,666.9164959747995
30,39,20000.0,1,0.4838602188643114,0,460.1814817531553
31,61,27272.134067021718,2,0.12324745813255145,0,697.9021392116455
32,42,70503.11401166787,2,0.30767908947794853,0,722.8274735782254
33,66,74674.51570251926,1,0.9260595598182655,1,1556.8928521478476
34,44,46264.45940665432,1,0.16169455327398685,0,690.8481445716238
35,59,58648.35444583649,1,0.9658323197183326,1,1077.4459987685746
36,45,54668.75231815304,2,0.2057943769894217,0,699.6600550594837
37,33,96183.21212682856,2,0.7415661084668296,1,1449.9928140796576
38,32,66793.62367151865,3,0.5466772648973117,1,1013.4610617082155
39,64,48081.2361277885,3,0.8844787275967592,0,700.5206893725419
40,68,35666.89339099362,1,0.5539932555031309,0,1066.8041760299873
41,61,25903.30519613641,3,0.5345592191563087,0,511.7384797639629
42,72,53051.954538008344,1,0.1954580003683999,0,791.9187875334804
43,69,38654.73882073545,1,0.16622936205165872,0,840.3578606308891
44,74,28666.19435603489,3,0.9164891511155142,0,408.7128648083112
45,20,40301.4067363621,1,0.32783819885003407,0,830.3429538479988
46,54,33776.779945784074,1,0.37208225496289593,0,495.07059012912003
47,68,75307.12452608848,2,0.7598236584283884,1,1285.1776948098307
48,24,63224.59635424176,2,0.33882348242280735,0,657.4751276296943
49,38,49880.41038025074,1,0.9520624466390027,0,983.1621029349261
50,26,72199.16208335038,1,0.7379277689988003,1,1590.469962620816
51,56,51160.524614714275,1,0.59742924257342,1,1323.8067499701533
52,35,37080.73698007604,1,0.8808951605447525,0,823.7565306024759
53,21,72846.86115904486,2,0.04960590834948275,0,822.9347080442326
54,42,58083.65065526988,1,0.25706269218920874,0,700.8406072283015
55,31,34441.30768510315,4,0.46503633422090995,0,1012.9171100110275
56,67,47144.91982874588,1,0.22697853947152102,0,618.5234090573529
57,26,36865.726199228644,3,0.7439051873021519,0,551.3059350123592
58,43,29258.00403553496,1,0.9192080310537252,0,871.2846102896134
59,70,63892.66321297462,3,0.4237701199309234,0,702.6129674206663
60,19,78641.24960705196,1,0.34213260011189495,0,737.4068085532238
61,37,29021.486392712883,1,0.9615507321375663,0,452.54165274336805
62,45,58444.538550358564,2,0.44485243282754083,0,740.1259681424433
63,64,40240.361463172594,1,0.4890484004492832,0,733.5636425814926
64,24,42693.11924352956,2,0.35164987234190537,0,797.2489289839781
65,61,41114.09113641696,2,0.9095484730121384,0,986.7865518431953
66,25,37040.138454802756,2,0.5689554832818507,0,847.4758253353576
67,64,50727.82441917241,4,0.7621745871816447,1,1262.7850178224694
68,52,37535.748253834434,2,0.8118067183508864,0,729.2202778283169
69,31,54056.85238669758,3,0.3418490419172582,0,906.5006599082503
70,34,49246.42835826294,2,0.43369433132038004,0,1044.1156075090666
71,53,46415.77929700386,1,0.8484717744062646,0,842.1889138222857
72,67,36386.545069376036,2,0.36325535167581025,0,624.4320896723794
73,57,41348.43004147501,4,0.7939351334518513,0,587.5624633354511
74,21,61330.86838738634,2,0.9409923225744371,1,889.9966405982447
75,19,57513.75781436571,1,0.623210373068007,1,1288.9807898691236
76,23,35336.67132802174,3,0.7416272874518889,0,866.4417901132091
77,71,51489.98458143839,1,0.8050973120411349,1,1219.1117664483338
78,59,61270.80685057683,5,0.8450396488966425,1,956.5468659816368
79,21,24958.920783179423,2,0.39505333785679597,0,945.6868868799269
80,71,58150.402885699026,3,0.05126345917599817,0,699.0546614291314
81,46,40060.643615812296,2,0.4018762712367395,0,931.5446926441765
82,35,58558.98002889739,5,0.6737562297840898,1,1342.2954422605112
83,43,38551.11265186225,2,0.4503503857807928,0,616.120448901523
84,61,22926.768490032213,2,0.7489631508603986,0,808.0362189997531
85,51,25586.86343175256,1,0.3569824294686639,0,745.5597838424279
86,27,50721.27419992073,1,0.6347441411040295,1,1228.2801586143182
87,53,53895.83752582223,6,0.18641980485397458,0,804.3768525257483
88,31,36435.25062343387,1,0.7493694366449569,0,749.5345804382989
89,48,59578.88688166061,2,0.5456959688130258,1,1675.188002241497
90,65,25077.1990659656,1,0.20406438854660058,0,882.6437632237227
91,32,49008.80302029025,4,0.29191117349780726,0,918.8005114483344
